Проверяемое семейство,Категория,Название гена,Белок,Координаты гена
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_01914,CAL2029182.1,OZ038406.1:7822363-7826583(+)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_02468,CAL2029736.1,OZ038406.1:9960443-9966844(+)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_02672,CAL2029940.1,OZ038406.1:10833516-10844477(+)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_03168,CAL2030434.1,OZ038406.1:13979186-13988172(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_05745,CAL2032997.1,OZ038407.1:9847165-9851205(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_05877,CAL2033128.1,OZ038407.1:10401373-10407246(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_08342,CAL2035587.1,OZ038408.1:2240340-2252675(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_08831,CAL2036072.1,OZ038408.1:4977530-4988703(+)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_09332,CAL2036572.1,OZ038408.1:7371609-7375132(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_09389,CAL2036629.1,OZ038408.1:7609372-7613537(+)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_09989,CAL2037227.1,OZ038408.1:9957179-9963220(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_11435,CAL2038670.1,OZ038409.1:292905-297595(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_12537,CAL2039741.1,OZ038409.1:8796267-8801196(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_12955,CAL2040159.1,OZ038409.1:10973906-10980703(+)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_13207,CAL2040411.1,OZ038409.1:11893032-11897795(+)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_14146,CAL2041348.1,OZ038409.1:15813589-15818906(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_18179,CAL2045343.1,OZ038410.1:10739581-10745633(+)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_22000,CAL2049119.1,OZ038411.1:7059435-7063448(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_22768,CAL2049884.1,OZ038411.1:11264753-11280812(-)
"PF00176 SNF2_N - SNF2 АТФазы (SWI/SNF, ISWI, CHD)",Chromatin remodeling,CAEBRE_23677,CAL2050791.1,OZ038411.1:16241975-16248072(+)
PF01429 MBD - Метил-CpG-связывающий домен (MeCP2/MBD),DNA methylation (read),CAEBRE_10307,CAL2037545.1,OZ038408.1:11262885-11267396(+)
PF01429 MBD - Метил-CpG-связывающий домен (MeCP2/MBD),DNA methylation (read),CAEBRE_10808,CAL2038045.1,OZ038408.1:13691817-13707519(-)
PF00567 Tudor - Tudor-домен - чтение метил-остатков,Histone (read),CAEBRE_02376,CAL2029644.1,OZ038406.1:9609124-9612618(-)
PF00567 Tudor - Tudor-домен - чтение метил-остатков,Histone (read),CAEBRE_03145,CAL2030411.1,OZ038406.1:13809515-13815499(+)
PF00567 Tudor - Tudor-домен - чтение метил-остатков,Histone (read),CAEBRE_03685,CAL2030948.1,OZ038407.1:383378-386689(-)
PF00567 Tudor - Tudor-домен - чтение метил-остатков,Histone (read),CAEBRE_08766,CAL2036008.1,OZ038408.1:4556802-4576653(-)
PF00567 Tudor - Tudor-домен - чтение метил-остатков,Histone (read),CAEBRE_10748,CAL2037985.1,OZ038408.1:13350734-13355137(+)
PF00567 Tudor - Tudor-домен - чтение метил-остатков,Histone (read),CAEBRE_13123,CAL2040327.1,OZ038409.1:11582860-11587102(-)
PF00567 Tudor - Tudor-домен - чтение метил-остатков,Histone (read),CAEBRE_15147,CAL2042318.1,OZ038409.1:24453506-24455355(-)
PF00567 Tudor - Tudor-домен - чтение метил-остатков,Histone (read),CAEBRE_20440,CAL2047593.1,OZ038410.1:19669757-19672295(-)
PF00567 Tudor - Tudor-домен - чтение метил-остатков,Histone (read),CAEBRE_21774,CAL2048895.1,OZ038411.1:5707797-5711246(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_03617,CAL2030882.1,OZ038407.1:78032-84858(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_03915,CAL2031177.1,OZ038407.1:1766017-1777369(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_04778,CAL2032032.1,OZ038407.1:5770033-5772243(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_06414,CAL2033665.1,OZ038407.1:12498409-12498973(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_07012,CAL2034257.1,OZ038407.1:14929818-14932356(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_07750,CAL2034995.1,OZ038407.1:17597756-17599962(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_08921,CAL2036161.1,OZ038408.1:5548146-5550766(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_09273,CAL2036513.1,OZ038408.1:7130003-7134497(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_09320,CAL2036560.1,OZ038408.1:7311622-7322102(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_10515,CAL2037752.1,OZ038408.1:12252181-12252747(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_10808,CAL2038045.1,OZ038408.1:13691817-13707519(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_11489,CAL2038724.1,OZ038409.1:453795-461248(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_11494,CAL2038729.1,OZ038409.1:469152-476945(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_13158,CAL2040362.1,OZ038409.1:11745006-11750540(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_14556,CAL2041736.1,OZ038409.1:20154827-20169196(+)
